               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.041395,            0.045961,             0.02044,             0.56053,             0.25412,              0.1575,            0.098441,            0.037369,            0.038634,            0.024188,            0.006436,            0.006436,            0.006436
                  38,            0.041166,            0.044821,            0.020774,             0.56063,             0.28714,             0.16311,             0.10162,            0.037885,            0.037499,            0.023786,            0.006337,            0.006337,            0.006337
                  39,            0.041264,            0.044713,            0.020865,             0.56667,             0.27942,             0.15793,            0.098378,            0.037318,            0.037759,            0.023478,            0.006238,            0.006238,            0.006238
                  40,            0.040977,            0.044842,            0.019753,             0.56429,             0.27371,             0.14927,             0.09095,            0.037871,            0.039922,             0.02267,            0.006139,            0.006139,            0.006139
                  41,            0.040354,            0.043106,            0.019747,             0.56065,             0.27287,             0.16152,            0.097882,            0.038313,            0.039772,            0.022717,             0.00604,             0.00604,             0.00604
                  42,            0.040879,            0.043988,            0.019419,             0.56811,             0.28088,             0.15604,            0.094814,            0.037428,            0.038927,            0.022548,            0.005941,            0.005941,            0.005941
                  43,            0.040341,            0.044143,            0.018319,              0.5673,             0.28254,             0.16091,            0.099576,            0.037337,            0.039372,            0.021683,            0.005842,            0.005842,            0.005842
                  44,            0.039912,            0.043148,              0.0185,             0.58232,             0.26387,             0.15814,            0.098754,            0.037038,            0.040709,            0.022142,            0.005743,            0.005743,            0.005743
                  45,            0.039688,             0.04432,            0.019568,             0.57886,             0.29598,             0.16762,             0.10636,            0.036617,            0.039299,            0.021983,            0.005644,            0.005644,            0.005644
                  46,            0.039528,            0.042538,            0.017774,             0.57661,             0.29302,             0.17018,             0.10716,            0.036473,             0.03843,            0.021049,            0.005545,            0.005545,            0.005545
                  47,            0.039035,            0.043063,            0.018165,             0.57443,             0.29781,             0.16662,              0.1024,            0.036951,            0.040079,            0.021541,            0.005446,            0.005446,            0.005446
