               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.038469,            0.028322,            0.013689,             0.25385,             0.44544,              0.2893,             0.20635,            0.037574,             0.03662,            0.017312,             0.07016,           0.0033156,           0.0033156
                   1,            0.038813,            0.027852,            0.012821,             0.25757,             0.41154,              0.2833,             0.20048,            0.039085,            0.037745,            0.018105,            0.040077,           0.0065667,           0.0065667
                   2,            0.041044,            0.028484,            0.013726,             0.27959,             0.33735,             0.27868,             0.18746,            0.040654,            0.036801,            0.020144,           0.0099125,           0.0097352,           0.0097352
                   3,            0.042345,            0.029784,            0.014454,             0.23661,             0.41117,             0.27467,              0.1733,            0.041883,             0.03578,            0.018656,           0.0096288,           0.0096288,           0.0096288
                   4,            0.043085,            0.030784,            0.015504,             0.25418,             0.41423,              0.2747,             0.16945,            0.042747,             0.03627,            0.020342,           0.0096288,           0.0096288,           0.0096288
                   5,            0.042673,            0.030242,             0.01482,             0.24666,             0.36858,             0.25786,             0.17475,            0.041523,            0.037661,            0.020655,            0.009505,            0.009505,            0.009505
                   6,            0.041587,            0.028781,             0.01476,             0.25275,             0.37877,             0.27083,             0.17959,            0.041877,            0.038392,            0.020164,           0.0093813,           0.0093813,           0.0093813
                   7,            0.041591,            0.030121,             0.01518,             0.25204,             0.36308,             0.26568,               0.182,            0.042195,            0.037418,            0.024493,           0.0092575,           0.0092575,           0.0092575
                   8,            0.040821,            0.028114,            0.014363,             0.27049,             0.39495,              0.2838,             0.18624,             0.04124,            0.037412,             0.01849,           0.0091337,           0.0091337,           0.0091337
                   9,            0.040106,            0.028415,            0.013137,             0.25625,             0.38746,             0.27946,             0.18717,            0.040757,            0.036401,            0.019506,             0.00901,             0.00901,             0.00901
                  10,            0.040386,            0.029406,            0.013324,             0.24956,             0.42057,             0.27102,             0.18501,            0.039999,            0.038102,            0.018254,           0.0088863,           0.0088863,           0.0088863
                  11,            0.040854,            0.028072,            0.013418,             0.25886,             0.41355,              0.2869,             0.19678,            0.039738,            0.035493,            0.018107,           0.0087625,           0.0087625,           0.0087625
                  12,            0.040758,            0.029507,            0.012864,             0.24958,             0.40788,              0.2844,             0.19772,            0.040726,            0.039625,            0.019691,           0.0086388,           0.0086388,           0.0086388
                  13,            0.040657,            0.029395,            0.012803,             0.24087,             0.39341,             0.26742,             0.17741,            0.040357,            0.037712,            0.019615,            0.008515,            0.008515,            0.008515
                  14,            0.038992,            0.028552,            0.011947,             0.26211,             0.40154,             0.28313,             0.19851,            0.039877,            0.039861,            0.019207,           0.0083913,           0.0083913,           0.0083913
                  15,            0.038393,            0.027821,            0.011419,             0.25544,             0.37162,             0.27767,             0.19803,            0.039878,            0.038001,            0.019449,           0.0082675,           0.0082675,           0.0082675
                  16,            0.039403,            0.029754,             0.01198,             0.26452,             0.37551,             0.26437,             0.18219,            0.041639,            0.039161,            0.021394,           0.0081437,           0.0081437,           0.0081437
                  17,            0.038116,            0.027393,            0.011102,             0.27837,             0.37881,             0.29201,             0.20273,            0.040149,            0.038162,            0.019313,             0.00802,             0.00802,             0.00802
                  18,            0.038891,            0.028459,            0.011542,             0.25615,             0.37213,             0.26835,             0.19055,            0.040814,            0.041045,            0.018513,           0.0078963,           0.0078963,           0.0078963
