               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11272,            0.092504,            0.074263,           0.0071614,             0.05678,           0.0069806,           0.0021135,            0.099279,            0.074228,            0.069579,            0.070319,           0.0032979,           0.0032979
                   1,            0.095048,            0.098537,               0.063,             0.58812,            0.026747,            0.007568,           0.0023761,            0.097949,            0.071569,            0.060796,            0.040253,           0.0065656,           0.0065656
                   2,            0.090246,            0.090696,            0.056588,             0.59517,            0.048211,            0.014273,           0.0051782,            0.095895,            0.068957,            0.058409,            0.010122,           0.0097672,           0.0097672
                   3,            0.085267,            0.089864,            0.054403,             0.80907,            0.036067,            0.041974,           0.0088703,            0.083165,            0.079417,            0.057878,            0.009703,            0.009703,            0.009703
                   4,            0.078033,            0.091494,            0.053865,             0.70968,            0.067945,            0.044756,            0.020157,            0.071182,            0.082695,            0.056308,            0.009703,            0.009703,            0.009703
                   5,             0.07324,            0.099527,            0.053279,             0.66358,            0.051871,            0.036703,             0.01925,            0.078747,            0.090445,            0.055252,            0.009604,            0.009604,            0.009604
                   6,            0.069944,            0.096215,            0.052923,             0.76989,            0.061362,            0.043516,            0.020032,            0.068856,            0.077987,            0.053712,            0.009505,            0.009505,            0.009505
                   7,            0.066731,            0.097115,            0.052884,             0.68636,            0.068849,            0.049676,            0.027002,            0.067442,            0.083737,            0.055581,            0.009406,            0.009406,            0.009406
                   8,            0.065417,            0.091843,            0.052184,             0.69819,            0.082038,            0.053065,            0.022714,            0.068484,            0.079144,            0.054837,            0.009307,            0.009307,            0.009307
                   9,             0.06338,            0.094253,            0.052551,             0.70405,              0.1135,            0.069221,             0.03261,            0.063467,            0.077292,            0.051977,            0.009208,            0.009208,            0.009208
                  10,              0.0622,            0.090806,            0.051486,             0.61919,             0.11352,            0.081465,            0.046278,            0.066588,            0.080545,            0.053526,            0.009109,            0.009109,            0.009109
                  11,            0.061953,            0.095434,            0.051036,             0.71064,            0.091609,            0.069246,            0.033454,            0.062487,             0.08265,            0.052376,             0.00901,             0.00901,             0.00901
                  12,            0.058787,            0.093551,            0.050994,             0.70419,            0.094473,            0.074735,            0.038824,            0.060425,             0.08363,            0.053625,            0.008911,            0.008911,            0.008911
                  13,            0.055957,            0.086694,             0.05116,             0.70838,             0.11222,            0.092185,            0.044434,            0.063654,            0.080631,            0.054608,            0.008812,            0.008812,            0.008812
                  14,            0.058333,            0.096481,            0.050238,              0.7024,             0.10422,            0.071853,            0.035733,            0.062117,            0.082849,            0.051233,            0.008713,            0.008713,            0.008713
                  15,            0.058034,            0.084183,            0.050428,             0.73027,            0.089155,            0.085208,            0.041127,            0.062507,            0.078921,            0.051772,            0.008614,            0.008614,            0.008614
                  16,            0.055728,            0.088773,            0.049926,             0.81529,            0.084676,             0.09437,             0.03792,            0.064656,            0.079481,            0.051303,            0.008515,            0.008515,            0.008515
