               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.046666,            0.068353,            0.028961,             0.45395,              0.4151,             0.28859,             0.16127,            0.051546,             0.07827,            0.033676,            0.006436,            0.006436,            0.006436
                  38,            0.047103,            0.065477,            0.028543,             0.43132,             0.45984,             0.30547,             0.18286,            0.049957,            0.082794,            0.033258,            0.006337,            0.006337,            0.006337
                  39,            0.046737,            0.066429,            0.028444,             0.42211,             0.49207,             0.31867,             0.18448,            0.050038,            0.084335,            0.034366,            0.006238,            0.006238,            0.006238
                  40,            0.045711,            0.066809,            0.027168,             0.40573,             0.42838,             0.29111,             0.16359,            0.050796,            0.080597,            0.033963,            0.006139,            0.006139,            0.006139
                  41,            0.045122,            0.066469,            0.026752,             0.40294,             0.44386,             0.30196,              0.1807,            0.050478,            0.082146,            0.033807,             0.00604,             0.00604,             0.00604
                  42,            0.045708,            0.062653,            0.026301,             0.43942,             0.41239,             0.32209,             0.20856,            0.048593,            0.081139,            0.033438,            0.005941,            0.005941,            0.005941
                  43,            0.044166,            0.065006,             0.02669,             0.47728,             0.35225,              0.2988,             0.18133,            0.049012,            0.081062,            0.034512,            0.005842,            0.005842,            0.005842
                  44,            0.046474,            0.067804,            0.026642,             0.46215,             0.36418,             0.29461,             0.17903,            0.049366,            0.080063,            0.033484,            0.005743,            0.005743,            0.005743
                  45,            0.043665,            0.059799,            0.026044,              0.4442,             0.33853,             0.29096,              0.1822,            0.048632,            0.087875,            0.032822,            0.005644,            0.005644,            0.005644
                  46,            0.044632,            0.061718,            0.026253,             0.46506,              0.3384,             0.30341,              0.1869,            0.047088,             0.08046,            0.032492,            0.005545,            0.005545,            0.005545
                  47,            0.043337,            0.058334,            0.024857,             0.43668,             0.37053,             0.28929,             0.17594,            0.047726,            0.080082,            0.034854,            0.005446,            0.005446,            0.005446
                  48,            0.042806,            0.062762,            0.024831,             0.42371,             0.40684,             0.27874,             0.16309,            0.049117,            0.083565,            0.033456,            0.005347,            0.005347,            0.005347
                  49,            0.043794,            0.064486,            0.024905,             0.39836,             0.37736,             0.27983,             0.17409,            0.047264,            0.081924,             0.03551,            0.005248,            0.005248,            0.005248
                  50,            0.043749,             0.06806,            0.025948,             0.40158,             0.41638,             0.30674,             0.18294,            0.048484,            0.080009,            0.032339,            0.005149,            0.005149,            0.005149
                  51,            0.042696,            0.061963,            0.024391,             0.44307,             0.42797,             0.32411,             0.19335,            0.049168,             0.08017,            0.032117,             0.00505,             0.00505,             0.00505
                  52,             0.04323,            0.061666,            0.023879,             0.44021,             0.44653,             0.31742,              0.1965,            0.048877,            0.080788,            0.032303,            0.004951,            0.004951,            0.004951
                  53,            0.041708,            0.059412,            0.022566,             0.45593,             0.38963,             0.29829,              0.1884,            0.048993,            0.081978,            0.033099,            0.004852,            0.004852,            0.004852
                  54,             0.04218,             0.06513,             0.02384,             0.40607,             0.40646,             0.27058,             0.15786,            0.049771,            0.081856,            0.033667,            0.004753,            0.004753,            0.004753
                  55,            0.041545,            0.062488,            0.023466,             0.45366,             0.37563,             0.28759,             0.17366,            0.048957,            0.082359,            0.033896,            0.004654,            0.004654,            0.004654
                  56,            0.042385,             0.06421,            0.023486,             0.46995,             0.36292,              0.2962,             0.17874,            0.048326,            0.084183,            0.032297,            0.004555,            0.004555,            0.004555
                  57,            0.042571,            0.062246,            0.022299,             0.43271,             0.45167,             0.30077,             0.18203,            0.048929,             0.08149,            0.034973,            0.004456,            0.004456,            0.004456
                  58,            0.042177,            0.063992,            0.022622,             0.44656,              0.3993,             0.29509,             0.18396,            0.048426,            0.086388,            0.032263,            0.004357,            0.004357,            0.004357
                  59,            0.041227,            0.060278,            0.022483,             0.43494,             0.43421,             0.29227,              0.1799,            0.048287,            0.082642,            0.033044,            0.004258,            0.004258,            0.004258
                  60,             0.03959,            0.060148,             0.02123,             0.43239,             0.41362,             0.29757,              0.1902,            0.049296,            0.081104,            0.031705,            0.004159,            0.004159,            0.004159
                  61,            0.039759,            0.059972,            0.021794,             0.46326,             0.42112,             0.29786,             0.18665,            0.048502,            0.082531,            0.033182,             0.00406,             0.00406,             0.00406
                  62,            0.040765,            0.060089,            0.020741,             0.45841,             0.42564,             0.29115,             0.18264,             0.04804,            0.084763,            0.033386,            0.003961,            0.003961,            0.003961
                  63,            0.039746,            0.058407,            0.021217,             0.40543,             0.39662,             0.27064,             0.16335,            0.049622,            0.091454,             0.03389,            0.003862,            0.003862,            0.003862
                  64,            0.040727,            0.062734,            0.020724,             0.43888,             0.42309,             0.29366,             0.17803,             0.04865,            0.086761,            0.033121,            0.003763,            0.003763,            0.003763
                  65,             0.03914,            0.056971,            0.020504,             0.46671,             0.45913,             0.31979,             0.19951,            0.048268,            0.085106,            0.032446,            0.003664,            0.003664,            0.003664
                  66,            0.039494,            0.057954,            0.019472,             0.44176,              0.4615,             0.30695,             0.18958,            0.047967,            0.085648,            0.032602,            0.003565,            0.003565,            0.003565
                  67,            0.039329,            0.063432,            0.020133,             0.43643,              0.4437,              0.3102,             0.19646,            0.048137,            0.083794,            0.032468,            0.003466,            0.003466,            0.003466
                  68,            0.037741,            0.054756,            0.019474,             0.44678,             0.44745,             0.31442,             0.20484,            0.048025,            0.082306,            0.033588,            0.003367,            0.003367,            0.003367
                  69,            0.038885,            0.054829,            0.020453,              0.4389,             0.41874,             0.30181,              0.1936,            0.048522,             0.09201,            0.033194,            0.003268,            0.003268,            0.003268
                  70,            0.038565,            0.055933,            0.018385,             0.46434,             0.37005,             0.30369,              0.1957,            0.048477,             0.08683,            0.033484,            0.003169,            0.003169,            0.003169
                  71,            0.038542,            0.056775,            0.017943,              0.4595,             0.40279,             0.30391,             0.19902,            0.047995,            0.087646,            0.033795,             0.00307,             0.00307,             0.00307
                  72,            0.038873,            0.058008,            0.019491,              0.4749,              0.3629,             0.30661,             0.19986,            0.048211,            0.091873,             0.03212,            0.002971,            0.002971,            0.002971
                  73,            0.039023,            0.057435,            0.018747,             0.46837,             0.38811,             0.32211,             0.19695,            0.049863,            0.087265,            0.032242,            0.002872,            0.002872,            0.002872
                  74,            0.038798,               0.058,            0.018731,             0.45321,             0.39775,             0.31079,             0.19844,            0.048177,            0.089546,            0.032263,            0.002773,            0.002773,            0.002773
                  75,            0.038898,            0.058099,            0.018422,             0.43795,             0.42342,             0.30277,             0.19365,            0.047455,            0.088478,            0.033136,            0.002674,            0.002674,            0.002674
                  76,            0.037565,            0.057189,            0.017826,             0.40701,             0.45279,             0.29374,             0.18865,            0.048618,            0.089859,            0.032559,            0.002575,            0.002575,            0.002575
                  77,            0.038887,             0.06165,            0.017235,               0.427,             0.45377,             0.31135,               0.195,            0.049045,            0.085999,             0.03335,            0.002476,            0.002476,            0.002476
                  78,            0.037699,            0.056188,            0.017856,             0.43986,             0.42629,             0.31474,             0.20873,            0.048039,             0.09034,            0.032532,            0.002377,            0.002377,            0.002377
                  79,            0.036708,            0.055945,            0.017845,             0.45245,             0.45765,             0.32934,             0.21271,            0.048018,            0.088669,             0.03223,            0.002278,            0.002278,            0.002278
                  80,            0.036798,            0.053356,             0.01707,             0.52388,             0.39153,             0.33941,             0.22042,            0.048381,            0.087296,            0.031848,            0.002179,            0.002179,            0.002179
                  81,             0.03716,            0.056531,            0.017788,             0.47281,             0.42042,             0.32857,              0.2101,            0.047637,            0.086655,            0.032996,             0.00208,             0.00208,             0.00208
                  82,            0.036802,            0.056191,            0.016347,             0.47577,             0.43392,             0.33124,             0.20815,            0.047627,            0.087029,            0.032574,            0.001981,            0.001981,            0.001981
                  83,              0.0362,            0.052019,            0.017176,             0.51694,              0.3983,             0.32943,             0.21246,             0.04805,            0.091316,             0.03327,            0.001882,            0.001882,            0.001882
                  84,            0.035853,            0.056327,            0.015966,             0.51192,             0.40754,             0.34258,             0.21619,            0.048002,            0.088882,            0.032413,            0.001783,            0.001783,            0.001783
                  85,            0.036967,            0.057512,            0.016398,             0.49424,             0.38515,             0.32823,             0.20989,            0.047991,            0.090454,             0.03277,            0.001684,            0.001684,            0.001684
