               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.040108,            0.057821,            0.012444,             0.24178,             0.41288,             0.19505,             0.11842,             0.05973,             0.12597,            0.040382,            0.006436,            0.006436,            0.006436
                  38,            0.040246,            0.057711,             0.01184,              0.2174,              0.3668,              0.1877,             0.12904,             0.05734,             0.13251,            0.040556,            0.006337,            0.006337,            0.006337
                  39,            0.040679,            0.057368,             0.01196,             0.22933,             0.31958,             0.17172,             0.10129,            0.060853,             0.12655,            0.041707,            0.006238,            0.006238,            0.006238
                  40,            0.039828,            0.056848,            0.011772,              0.1926,             0.37581,             0.17586,             0.11353,            0.058207,             0.13758,            0.040725,            0.006139,            0.006139,            0.006139
                  41,            0.039312,            0.056964,            0.011803,               0.296,             0.34599,             0.19597,             0.13258,             0.05824,             0.14873,            0.043755,             0.00604,             0.00604,             0.00604
                  42,            0.038423,            0.056936,            0.010988,             0.28203,              0.3032,             0.20389,             0.14116,            0.057217,               0.128,            0.041844,            0.005941,            0.005941,            0.005941
                  43,            0.039834,            0.054129,            0.011155,             0.31985,             0.32708,             0.20441,              0.1298,             0.05938,             0.13774,            0.038793,            0.005842,            0.005842,            0.005842
                  44,            0.039945,            0.055194,            0.011833,              0.3041,             0.29985,              0.2002,             0.13219,            0.058318,             0.13447,             0.04005,            0.005743,            0.005743,            0.005743
                  45,             0.03878,             0.05448,            0.011494,             0.29204,             0.32106,             0.19592,             0.13907,             0.05913,               0.151,            0.039784,            0.005644,            0.005644,            0.005644
                  46,            0.039951,            0.061909,            0.011454,             0.29586,             0.31967,             0.19247,             0.13088,            0.060318,             0.14658,             0.04086,            0.005545,            0.005545,            0.005545
                  47,            0.037867,            0.056499,            0.010667,             0.33253,             0.30992,             0.19876,             0.13617,            0.060616,             0.14818,            0.041698,            0.005446,            0.005446,            0.005446
                  48,            0.038451,            0.055354,            0.010521,             0.30711,             0.30292,             0.19376,             0.13591,            0.060046,             0.14532,            0.043657,            0.005347,            0.005347,            0.005347
                  49,             0.03842,            0.055379,            0.011005,             0.31458,             0.31525,             0.20153,             0.14041,            0.058474,             0.14733,             0.04024,            0.005248,            0.005248,            0.005248
                  50,            0.038794,            0.053095,            0.010668,             0.32484,             0.31124,             0.21288,             0.14432,            0.058895,             0.14783,            0.041586,            0.005149,            0.005149,            0.005149
                  51,             0.03906,             0.05501,            0.010114,             0.31561,             0.31615,             0.20738,             0.14599,            0.059012,             0.15344,            0.041963,             0.00505,             0.00505,             0.00505
                  52,            0.037903,            0.052203,           0.0098483,             0.34266,             0.28273,             0.19782,             0.13692,            0.058948,              0.1521,            0.043005,            0.004951,            0.004951,            0.004951
                  53,            0.036653,            0.053664,           0.0099002,             0.31828,             0.31323,             0.20589,             0.14303,            0.057387,             0.14244,            0.041183,            0.004852,            0.004852,            0.004852
                  54,            0.037083,            0.053763,            0.010296,             0.29053,             0.33096,             0.19607,             0.13212,            0.057347,             0.15171,             0.04081,            0.004753,            0.004753,            0.004753
                  55,            0.036749,            0.054444,           0.0098258,             0.29073,             0.34547,             0.20352,             0.14575,            0.057247,             0.14383,             0.04116,            0.004654,            0.004654,            0.004654
                  56,            0.037829,            0.056867,           0.0097628,             0.33146,             0.27219,             0.19891,             0.13083,            0.058295,             0.13588,            0.040027,            0.004555,            0.004555,            0.004555
                  57,            0.037269,            0.053387,           0.0096712,              0.3241,              0.2743,             0.18613,             0.12241,            0.061273,             0.15622,            0.043105,            0.004456,            0.004456,            0.004456
                  58,            0.038122,            0.056231,            0.010282,             0.28084,             0.32779,             0.19533,             0.12937,            0.058154,             0.14821,            0.042117,            0.004357,            0.004357,            0.004357
                  59,            0.036472,            0.053912,           0.0097614,             0.28384,              0.3168,             0.19573,              0.1353,            0.058177,             0.14946,            0.041835,            0.004258,            0.004258,            0.004258
                  60,             0.03731,            0.052389,            0.010078,             0.31484,             0.27765,             0.19795,             0.14342,            0.059011,             0.15227,            0.044618,            0.004159,            0.004159,            0.004159
                  61,            0.036301,            0.050823,           0.0095051,              0.2783,             0.32534,             0.20639,             0.14748,            0.057948,             0.14345,            0.044112,             0.00406,             0.00406,             0.00406
                  62,            0.036924,            0.057764,           0.0097691,             0.30943,             0.31761,             0.21328,             0.15061,            0.057779,             0.14854,            0.041638,            0.003961,            0.003961,            0.003961
                  63,            0.036578,            0.053633,           0.0093396,             0.32565,             0.26932,             0.19159,             0.13991,            0.058588,             0.14125,            0.042343,            0.003862,            0.003862,            0.003862
                  64,            0.036818,            0.056184,            0.009176,             0.30136,             0.30284,              0.1909,             0.14023,            0.059716,             0.16066,            0.043577,            0.003763,            0.003763,            0.003763
                  65,            0.036378,            0.053752,           0.0096478,             0.30665,             0.28979,              0.1864,             0.13399,            0.059704,             0.15958,            0.044355,            0.003664,            0.003664,            0.003664
