               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10806,            0.052768,            0.062286,           0.0090854,             0.10612,           0.0092581,            0.002366,            0.086188,             0.06869,            0.058236,            0.070435,            0.003285,            0.003285
                   1,            0.080019,            0.056422,            0.055391,              0.1516,            0.079483,            0.025542,            0.011232,             0.07864,            0.058511,            0.054336,            0.040369,           0.0065528,           0.0065528
                   2,            0.072887,            0.057756,            0.053403,             0.14174,            0.086761,            0.026992,           0.0087071,            0.070033,            0.059974,            0.053146,            0.010238,           0.0097546,           0.0097546
                   3,            0.068987,            0.059402,            0.051802,             0.14147,             0.11736,            0.033995,            0.013705,            0.063224,            0.061865,            0.051877,            0.009703,            0.009703,            0.009703
                   4,            0.062914,            0.056078,             0.05047,             0.17149,            0.093744,            0.049874,            0.020696,            0.061239,            0.068501,            0.052501,            0.009703,            0.009703,            0.009703
                   5,             0.06079,            0.057679,            0.047724,             0.20861,             0.15391,            0.076291,            0.032462,            0.057803,            0.066237,            0.048582,            0.009604,            0.009604,            0.009604
                   6,            0.057537,            0.058342,            0.047084,             0.32524,             0.15849,            0.096453,            0.042102,            0.058157,            0.070171,             0.04579,            0.009505,            0.009505,            0.009505
                   7,             0.05622,             0.05527,            0.043985,             0.34447,             0.20292,             0.11802,            0.056087,            0.054974,            0.065237,            0.044221,            0.009406,            0.009406,            0.009406
                   8,            0.056557,            0.057078,            0.041733,             0.25325,             0.23108,             0.10105,            0.046369,            0.057655,            0.066751,            0.044188,            0.009307,            0.009307,            0.009307
                   9,            0.054798,            0.057346,            0.040336,             0.27449,             0.22757,             0.12633,            0.058414,             0.05425,            0.066856,             0.04142,            0.009208,            0.009208,            0.009208
                  10,            0.054523,            0.057171,            0.038653,             0.25119,             0.24805,             0.11469,            0.059367,            0.052518,            0.068436,            0.040512,            0.009109,            0.009109,            0.009109
                  11,            0.054212,            0.056756,            0.036331,             0.27781,             0.25875,             0.14113,            0.073659,            0.051303,            0.066698,            0.039121,             0.00901,             0.00901,             0.00901
                  12,            0.053118,            0.056545,            0.035699,             0.31081,             0.24858,             0.17561,            0.093842,            0.053387,            0.064953,            0.040247,            0.008911,            0.008911,            0.008911
                  13,            0.053125,            0.056816,            0.034808,             0.29428,             0.26414,              0.1679,             0.09511,            0.051244,            0.068825,            0.038675,            0.008812,            0.008812,            0.008812
                  14,            0.052018,            0.054204,            0.033918,             0.19548,             0.25533,             0.17406,            0.085398,            0.053043,            0.068917,            0.036163,            0.008713,            0.008713,            0.008713
                  15,            0.051354,            0.053533,             0.03235,             0.31106,             0.26716,              0.1634,            0.096307,            0.050568,            0.067746,             0.03659,            0.008614,            0.008614,            0.008614
                  16,            0.051724,            0.053176,            0.032162,             0.29024,              0.2746,             0.16575,            0.096774,            0.051116,            0.069485,            0.037388,            0.008515,            0.008515,            0.008515
