               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.041391,            0.041387,            0.015395,             0.26745,              0.3693,             0.28257,             0.19266,            0.042302,            0.042085,            0.022429,            0.006436,            0.006436,            0.006436
                  38,            0.041833,            0.043401,            0.016043,             0.25018,             0.39626,             0.27613,             0.18484,            0.043545,            0.043369,            0.023917,            0.006337,            0.006337,            0.006337
                  39,            0.041232,            0.042932,            0.014669,             0.27097,             0.40012,             0.27843,             0.18951,            0.041795,            0.043275,            0.021056,            0.006238,            0.006238,            0.006238
                  40,            0.041491,            0.042312,            0.014419,              0.2982,              0.3645,             0.27609,             0.18952,            0.041318,            0.043311,            0.020928,            0.006139,            0.006139,            0.006139
                  41,            0.039224,            0.040624,            0.013617,             0.29239,             0.44263,             0.29117,             0.20072,            0.040953,            0.041227,            0.020315,             0.00604,             0.00604,             0.00604
                  42,            0.040061,            0.042398,            0.013721,             0.29021,             0.37089,             0.27721,             0.19033,            0.041534,            0.044716,            0.021924,            0.005941,            0.005941,            0.005941
                  43,            0.039729,            0.041362,             0.01321,             0.24829,             0.38739,             0.27093,             0.19491,            0.041392,            0.046778,            0.022794,            0.005842,            0.005842,            0.005842
                  44,            0.040206,            0.041787,            0.013661,             0.32345,             0.36211,             0.30002,             0.20866,            0.041187,            0.042704,            0.021029,            0.005743,            0.005743,            0.005743
                  45,            0.039429,            0.042178,            0.013335,             0.29214,             0.39896,             0.30274,             0.21368,            0.041363,            0.043699,            0.021895,            0.005644,            0.005644,            0.005644
                  46,            0.038919,            0.039564,             0.01289,             0.31329,             0.33596,             0.28233,             0.20275,            0.040744,             0.04204,            0.021988,            0.005545,            0.005545,            0.005545
                  47,            0.038812,            0.041441,            0.012382,             0.31245,             0.37494,              0.2959,             0.20568,            0.040967,             0.04269,             0.02094,            0.005446,            0.005446,            0.005446
                  48,            0.039054,            0.043232,            0.013361,             0.26546,             0.43191,             0.29592,             0.20886,            0.040665,             0.04495,            0.022996,            0.005347,            0.005347,            0.005347
                  49,             0.03834,            0.041938,            0.011752,             0.33397,             0.34225,             0.29562,             0.20617,            0.041288,            0.044341,            0.021965,            0.005248,            0.005248,            0.005248
                  50,            0.038196,            0.039942,            0.011966,             0.32486,             0.35311,             0.29235,             0.20771,            0.040913,            0.043872,            0.023241,            0.005149,            0.005149,            0.005149
                  51,             0.03737,            0.038323,             0.01158,             0.30471,             0.38471,             0.28382,             0.20683,            0.040585,            0.046609,            0.021835,             0.00505,             0.00505,             0.00505
                  52,            0.037659,             0.03957,            0.011926,             0.30382,             0.40213,             0.28948,              0.2106,            0.040835,            0.043997,            0.022656,            0.004951,            0.004951,            0.004951
                  53,            0.037213,             0.03885,             0.01148,             0.29711,             0.40819,             0.29593,             0.21141,            0.040812,            0.041009,            0.021803,            0.004852,            0.004852,            0.004852
                  54,            0.036768,            0.039793,            0.011023,             0.31728,             0.36053,             0.28833,             0.20851,             0.04166,            0.041447,            0.022699,            0.004753,            0.004753,            0.004753
                  55,            0.037476,            0.040746,            0.010923,             0.33479,             0.34563,             0.29475,             0.21605,            0.041699,            0.044874,             0.02329,            0.004654,            0.004654,            0.004654
                  56,            0.036851,            0.040775,            0.010987,             0.33268,             0.35666,             0.30353,             0.21792,            0.040635,            0.044473,            0.022821,            0.004555,            0.004555,            0.004555
                  57,            0.036022,            0.039449,            0.010522,             0.28626,             0.32848,             0.26627,             0.19478,            0.041256,            0.043304,            0.023172,            0.004456,            0.004456,            0.004456
                  58,            0.036508,            0.039739,            0.010068,             0.32667,             0.32882,             0.28203,             0.20873,            0.041053,            0.045605,            0.022883,            0.004357,            0.004357,            0.004357
                  59,            0.036822,            0.039394,            0.010597,               0.327,             0.37925,             0.30039,             0.21963,            0.041148,            0.044259,            0.022297,            0.004258,            0.004258,            0.004258
                  60,             0.03547,            0.038137,            0.010283,             0.30642,             0.39223,             0.28646,             0.20884,            0.040543,            0.045502,            0.022214,            0.004159,            0.004159,            0.004159
                  61,            0.036122,            0.040071,           0.0099946,             0.34273,             0.33332,             0.29137,             0.21399,            0.040869,            0.045244,            0.022946,             0.00406,             0.00406,             0.00406
                  62,            0.035956,            0.039995,           0.0098919,             0.28457,             0.37179,             0.27973,             0.20549,            0.040687,            0.044861,            0.022424,            0.003961,            0.003961,            0.003961
                  63,            0.035925,            0.040243,            0.010193,             0.27172,             0.40098,             0.28619,             0.21568,            0.040332,            0.042704,             0.02222,            0.003862,            0.003862,            0.003862
                  64,            0.035333,            0.038948,            0.009169,             0.36858,             0.32565,             0.29243,             0.21471,            0.040311,            0.043427,            0.023197,            0.003763,            0.003763,            0.003763
                  65,             0.03515,            0.039772,           0.0093641,             0.32909,             0.35094,             0.29166,             0.21602,            0.039489,            0.044582,            0.021695,            0.003664,            0.003664,            0.003664
                  66,            0.034932,            0.040277,           0.0094828,             0.26029,             0.39511,              0.2764,             0.19949,            0.040555,            0.046329,            0.022127,            0.003565,            0.003565,            0.003565
                  67,            0.035099,            0.037002,           0.0088739,             0.28321,              0.3895,             0.28848,             0.21598,            0.040088,            0.045415,            0.021241,            0.003466,            0.003466,            0.003466
                  68,            0.034595,            0.037266,           0.0088464,             0.34496,             0.31763,             0.29164,             0.21387,            0.041056,            0.046887,            0.022989,            0.003367,            0.003367,            0.003367
                  69,            0.034264,            0.039603,           0.0087453,             0.28593,             0.39494,             0.27985,             0.21337,            0.040003,            0.047443,            0.022775,            0.003268,            0.003268,            0.003268
                  70,            0.034366,            0.039594,           0.0086936,             0.33453,             0.33282,             0.29082,             0.21923,            0.040177,            0.047846,            0.022997,            0.003169,            0.003169,            0.003169
                  71,            0.034921,            0.039458,           0.0086246,             0.31573,             0.39387,             0.29967,              0.2202,            0.040755,            0.045559,            0.022233,             0.00307,             0.00307,             0.00307
